City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
299,Saint-Jean-Port-Joli,CA,62.456,-114.3525,37.92,41,20,8.05,few clouds
300,Forio,IT,40.7342,13.8646,56.7,80,6,18.3,clear sky
301,Uberlandia,BR,-5.5183,-47.4611,76.78,88,15,2.28,few clouds
302,Tarancon,ES,28.6585,-17.9182,58.75,76,40,11.5,scattered clouds
303,Copiapo,CL,-53.15,-70.9167,42.91,75,0,5.75,clear sky
304,Lang Son,VN,21.8333,106.7333,63.64,55,0,1.88,clear sky
305,Bailen,ES,28.6585,-17.9182,58.75,76,40,11.5,scattered clouds
306,Gander,CA,62.456,-114.3525,37.92,41,20,8.05,few clouds
307,Wageningen,NL,51.9667,5.6667,45.03,88,100,17.27,overcast clouds
308,Mahibadhoo,MV,-0.6,73.0833,82.08,63,17,3.8,few clouds
309,Apricena,IT,40.7342,13.8646,56.7,80,6,18.3,clear sky
310,Ratnagiri,IN,10.5669,72.642,83.07,73,55,6.67,broken clouds
311,Abu Samrah,SY,35.3029,37.1841,60.71,56,100,7.0,overcast clouds
312,Muroto,JP,35.7333,140.8333,55.29,57,20,7.63,few clouds
313,Narsaq,GL,60.1432,-45.2371,29.68,86,99,12.03,overcast clouds
314,Healdsburg,US,57.79,-152.4072,38.71,75,100,6.91,light snow
315,Dajal,PK,29.5577,70.3762,84.36,8,0,0.83,clear sky
316,Pierre,US,57.79,-152.4072,38.71,75,100,6.91,light snow
317,Zabolottya,UA,46.0303,29.9361,47.19,89,100,4.99,overcast clouds
318,Victoria,HK,22.2855,114.1577,72.95,53,0,8.99,clear sky
319,Whitehaven,GB,58.2093,-6.3865,39.16,71,100,17.27,overcast clouds
320,Tezu,IN,10.5669,72.642,83.07,73,55,6.67,broken clouds
321,Wanning,CN,33.0558,106.2958,55.42,84,13,1.72,few clouds
322,Monte Alegre,BR,-5.5183,-47.4611,76.78,88,15,2.28,few clouds
323,Codrington,AU,-38.2667,141.9667,56.8,87,5,6.6,clear sky
324,Vardo,NO,70.8578,29.0864,32.0,78,70,22.79,broken clouds
325,Port Keats,AU,-33.65,115.3333,64.72,66,89,8.5,overcast clouds
326,Sao Filipe,PT,32.6667,-17.1,60.71,74,53,2.15,broken clouds
327,Banda Aceh,ID,-4.9408,122.5276,74.79,93,85,1.54,overcast clouds
328,Bouna,CI,9.2667,-3.0,77.11,76,100,8.63,light rain
329,Santa Ana De Yusguare,HN,15.7437,-87.1766,89.55,75,65,5.32,broken clouds
330,Marawi,SD,13.0167,31.8667,87.04,22,19,7.81,few clouds
331,Wuda,CN,33.0558,106.2958,55.42,84,13,1.72,few clouds
332,Rio Grande,BR,-5.5183,-47.4611,76.78,88,15,2.28,few clouds
333,Tasbuget,KZ,47.8043,67.7144,39.79,72,8,9.37,clear sky
334,Ewa Beach,US,57.79,-152.4072,38.71,75,100,6.91,light snow
335,Phrai Bung,TH,7.9178,98.3332,83.7,78,100,3.0,overcast clouds
336,Aklavik,CA,62.456,-114.3525,37.92,41,20,8.05,few clouds
337,Kabul,AF,34.5,69.4167,61.48,32,91,3.2,overcast clouds
338,Haines Junction,CA,62.456,-114.3525,37.92,41,20,8.05,few clouds
339,Tallahassee,US,57.79,-152.4072,38.71,75,100,6.91,light snow
340,Leeuwarden,NL,53.2014,5.8086,44.01,86,75,23.02,broken clouds
341,Gushikawa,JP,35.7333,140.8333,55.29,57,20,7.63,few clouds
342,Sungai Petani,MY,1.55,110.3333,73.62,100,40,3.0,scattered clouds
343,Mackay,AU,-33.65,115.3333,64.72,66,89,8.5,overcast clouds
344,Kapiri Mposhi,ZM,-12.529,27.8838,62.94,97,100,1.43,light rain
345,Barmer,IN,10.5669,72.642,83.07,73,55,6.67,broken clouds
346,Rairangpur,IN,10.5669,72.642,83.07,73,55,6.67,broken clouds
347,Salalah,OM,22.5667,59.5289,85.57,40,0,9.8,clear sky
348,Bandarbeyla,ES,43.2686,-7.5406,52.14,81,100,10.42,overcast clouds
349,Atambua,ID,-4.9408,122.5276,74.79,93,85,1.54,overcast clouds
350,Villacarrillo,ES,28.6585,-17.9182,58.75,76,40,11.5,scattered clouds
